出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第十三出,西江月,否,3,"[6, 6, 7, 6, 6, 6, 7, 6, 2, 9, 4, 9, 4, 4, 4, 4, 6, 13, 9, 4, 4, 4, 14, 6, 6, 5, 4, 5, 2, 4, 4, 4, 8, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 7, 6, 6, 6, 7, 6, 2, 9, 4, 9, 4, 4, 4, 4, 6, 13, 9, 4, 4, 4, 14, 6, 6, 5, 4, 5, 2, 4, 4, 4, 8, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[6, 6, 7, 6, 6, 6, 7, 6, 2, 9, 4, 9, 4, 4, 4, 4, 6, 13, 9, 4, 4, 4, 14, 6, 6, 5, 4, 5, 2, 4, 4, 4, 8, 4, 6]"
第十三出,一封书,否,4,[0],[0],[0],[0],[],[],"[3, 11, 6, 4, 8, 4, 5, 6, 2, 9, 9, 4, 3]"
第十四出,太常引,否,1,[0],[0],[0],[0],[],[],"[17, 11, 10, 7, 8, 7, 8, 6, 4, 4, 6, 4, 4, 4, 4, 4, 4]"
第十四出,绕地游,否,2,[0],[0],[0],[0],"[17, 11, 10, 7, 8, 7, 8, 6, 4, 4, 6, 4, 4, 4, 4, 4, 4]",[],"[7, 7, 7, 7, 9, 6, 6, 4, 3, 4]"
第十四出,望吾乡犯,否,3,[0],[0],[0],[0],"[7, 7, 7, 7, 9, 6, 6, 4, 3, 4]",[],"[4, 4, 7, 8, 3, 4, 3, 3, 7, 7, 7, 7, 3, 4, 4, 2, 5, 4, 6]"
第十四出,绛都春,否,4,[0],[0],[0],[0],"[4, 4, 7, 8, 3, 4, 3, 3, 7, 7, 7, 7, 3, 4, 4, 2, 5, 4, 6]",[],"[4, 10, 4]"
第十四出,出队子,否,5,[0],[0],[0],[0],"[4, 10, 4]",[],"[2, 5]"
第十四出,闹樊楼,否,6,[0],[0],[0],[0],"[2, 5]",[],"[7, 9, 3, 10]"
第十四出,莺画眉,否,7,[0],[0],[0],[0],"[7, 9, 3, 10]",[],"[4, 6, 3, 10, 4, 6, 4, 4, 6]"
第十四出,滴滴金,否,8,[0],[0],[0],[0],"[4, 6, 3, 10, 4, 6, 4, 4, 6]",[],"[10, 4, 6, 4, 4, 6, 5, 10, 9]"
第十四出,啄木儿,否,9,[0],[0],[0],[0],"[10, 4, 6, 4, 4, 6, 5, 10, 9]",[],"[6, 4, 5, 3, 2, 4, 5, 4, 5, 6, 2, 3, 3, 3, 3, 6, 6, 7, 7, 4, 4, 4, 6, 6, 5, 3, 3, 3, 6, 4, 5, 4, 5, 4, 5, 6, 4, 6, 7, 6, 8, 6, 4, 5, 2, 7, 7, 7, 7, 7, 7, 7, 7, 4, 6, 7, 3, 2]"
第十四出,三段子,否,10,[0],[0],[0],[0],"[6, 4, 5, 3, 2, 4, 5, 4, 5, 6, 2, 3, 3, 3, 3, 6, 6, 7, 7, 4, 4, 4, 6, 6, 5, 3, 3, 3, 6, 4, 5, 4, 5, 4, 5, 6, 4, 6, 7, 6, 8, 6, 4, 5, 2, 7, 7, 7, 7, 7, 7, 7, 7, 4, 6, 7, 3, 2]",[],"[4, 7, 5, 5, 3, 4, 4, 4]"
第十四出,斗双鸡,否,11,[0],[0],[0],[0],"[4, 7, 5, 5, 3, 4, 4, 4]",[],"[7, 5, 6, 7, 4, 6]"
第十四出,上小楼,否,12,[0],[0],[0],[0],"[7, 5, 6, 7, 4, 6]",[],"[10, 12, 6, 6, 6, 4, 4, 4, 4, 4, 8, 11, 7, 4, 4, 8, 7, 2, 24, 2, 2, 7]"
第十四出,耍鲍老,否,13,[0],[0],[0],[0],"[10, 12, 6, 6, 6, 4, 4, 4, 4, 4, 8, 11, 7, 4, 4, 8, 7, 2, 24, 2, 2, 7]",[],"[2, 2]"
第十四出,尾声,否,14,[0],[0],[0],[0],"[2, 2]",[],"[5, 6, 4, 4, 7, 9, 7, 7, 7, 7, 7, 9, 1, 7]"
第十四出,赛观音,否,15,[0],[0],[0],[0],"[5, 6, 4, 4, 7, 9, 7, 7, 7, 7, 7, 9, 1, 7]",[],"[6, 7, 13, 4]"
第十四出,赛观音,是,16,[0],[0],[0],[0],"[6, 7, 13, 4]",[],"[2, 4, 4]"
第十四出,人月圆,否,17,[0],[0],[0],[0],"[2, 4, 4]",[],"[3, 4, 4]"
第十四出,人月圆,是,18,[0],[0],[0],[0],"[3, 4, 4]",[]
