序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
0,邯郸记,第十九出,八声甘州,否,152
89,邯郸记,第十九出,八声甘州,是,153,金,金牌将,金牌将相家,正文
89,邯郸记,第十九出,八声甘州,是,153,朱,朱门画,朱门画戟,正文
89,邯郸记,第十九出,八声甘州,是,153,紫,紫阁雕,紫阁雕檐,正文
89,邯郸记,第十九出,八声甘州,是,153,金,一个金弹儿,一个金弹儿抛打乌鸦,正文
89,邯郸记,第十九出,八声甘州,是,153,乌,抛打乌鸦,一个金弹儿抛打乌鸦,正文
89,邯郸记,第十九出,八声甘州,是,153,乌,云：乌鸦知,圣人云：乌鸦知风,正文
89,邯郸记,第十九出,八声甘州,是,153,乌,也；乌鸦者,鸳鸯者夫妇之情也；乌鸦者晦黑之声也；落弹者失圆之象也；碎瓦者分飞之意也,正文
89,邯郸记,第十九出,八声甘州,是,153,黑,者晦黑之声,鸳鸯者夫妇之情也；乌鸦者晦黑之声也；落弹者失圆之象也；碎瓦者分飞之意也,正文
90,邯郸记,第二十出,赏花时,否,154,翠,鸳鸯翠瓦,谁近的 鸳鸯翠瓦,正文
90,邯郸记,第二十出,赏花时,否,154,金,金弹打,金弹打流鸦,正文
91,邯郸记,第二十出,么,否,155,翠,华倚翠华 ,俺这里 路转东华倚翠华,正文
91,邯郸记,第二十出,么,否,155,金,玉鸣金宰相,佩玉鸣金宰相家,正文
91,邯郸记,第二十出,么,否,155,红,珍珠红 ,正是小槽酒滴珍珠红,正文
91,邯郸记,第二十出,么,否,155,金,酒泻金茎露,这是酒泻金茎露涓滴,正文
92,邯郸记,第二十出,北醉花阴,否,156,红,日假红围翠,整日假红围翠匝,正文
92,邯郸记,第二十出,北醉花阴,否,156,翠,红围翠匝,整日假红围翠匝,正文
0,邯郸记,第二十出,南画眉序,否,157
93,邯郸记,第二十出,北喜迁莺,否,158,青,乘青驹,乘青驹,正文
93,邯郸记,第二十出,北喜迁莺,否,158,白,也明白,大臣生也明白,正文
93,邯郸记,第二十出,北喜迁莺,否,158,白,也明白,大臣生也明白,正文
94,邯郸记,第二十出,南画眉序,否,159,金,几个金瓜,吃 几个金瓜,正文
94,邯郸记,第二十出,南画眉序,否,159,乌,啼乌有赦,啼乌有赦来,正文
95,邯郸记,第二十出,北出队子,否,160,黄,则黄泉无,则黄泉无酒店,正文
0,邯郸记,第二十出,么,否,161
0,邯郸记,第二十出,南滴溜子,否,162
96,邯郸记,第二十出,北刮地风,否,163,黄,的这黄沙,刮的这黄沙,正文
0,邯郸记,第二十出,南双声子,否,164
0,邯郸记,第二十出,北四门子,否,165
0,邯郸记,第二十出,南鲍老催,否,166
0,邯郸记,第二十出,北水仙子,否,167
97,邯郸记,第二十出,南双斗鸡,否,168,银,半截银锞子,我袖了半截银锞子,正文
0,邯郸记,第二十出,北尾,否,169
98,邯郸记,第二十一出,缕缕金,否,170,金,缕缕金,缕缕金,曲牌
99,邯郸记,第二十一出,黄莺儿,否,171,黄,黄莺儿,黄莺儿,曲牌
99,邯郸记,第二十一出,黄莺儿,否,171,粉,粉泪漂,粉泪漂,正文
100,邯郸记,第二十二出,江儿水,否,172,黑,领上黑碌碌,脑领上黑碌碌的一大古子来了,正文
100,邯郸记,第二十二出,江儿水,否,172,黑, 黑 碌,黑 碌碌瘴影天笼罩,正文
101,邯郸记,第二十二出,忒忒令,否,173,黄,朝中黄罗凉,朝中黄罗凉伞,正文
102,邯郸记,第二十二出,五供养,否,174,金,虎连金银都,难道老虎连金银都吃去了,正文
102,邯郸记,第二十二出,五供养,否,174,银,连金银都吃,难道老虎连金银都吃去了,正文
102,邯郸记,第二十二出,五供养,否,174,黑,一声黑心贼,骂你 一声黑心贼盗,正文
103,邯郸记,第二十二出,玉札子,否,175,青,前面青山一,前面青山一带,正文
103,邯郸记,第二十二出,玉札子,否,175,乌, 是乌艚还,是乌艚还是白艚,正文
103,邯郸记,第二十二出,玉札子,否,175,白,还是白艚 ,是乌艚还是白艚,正文
103,邯郸记,第二十二出,玉札子,否,175,黑,晒翅黑了天,鲸鱼晒翅黑了天,正文
104,邯郸记,第二十二出,江神子,否,176,黑,樵夫黑脸蓬,（扮二樵夫黑脸蓬头,括号
104,邯郸记,第二十二出,江神子,否,176,黑,是黑鬼,是黑鬼,正文
104,邯郸记,第二十二出,江神子,否,176,黑,髓都黑,生来骨髓都黑,正文
104,邯郸记,第二十二出,江神子,否,176,黑,叫做黑鬼,因此州里人都叫做黑鬼,正文
104,邯郸记,第二十二出,江神子,否,176,白,这里白日有,你这里白日有鬼,正文
104,邯郸记,第二十二出,江神子,否,176,金,子大金字,你不看亭子大金字,正文
104,邯郸记,第二十二出,江神子,否,176,白,白日里,白日里出跳,正文
105,邯郸记,第二十二出,清江引,否,177,黑,黑碌碌,黑碌碌的 回回直上到杪,正文
106,邯郸记,第二十二出,清江引,是,178,黑,黑鬼儿,黑鬼儿 梭梭跳,正文
107,邯郸记,第二十三出,破齐阵,否,179,翠,啼双翠颦,残啼双翠颦,正文
