序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
116,牡丹亭,第二十六出,莺啼序,否,191,丹青,问丹青何处,问丹青何处娇娥,正文
0,牡丹亭,第二十六出,集贤宾,否,192
117,牡丹亭,第二十六出,黄莺儿,否,193,黄,黄莺儿,黄莺儿,曲牌
117,牡丹亭,第二十六出,黄莺儿,否,193,青,半枝青梅在,却怎半枝青梅在手,正文
117,牡丹亭,第二十六出,黄莺儿,否,193,翠,春山翠拖,春山翠拖,正文
118,牡丹亭,第二十六出,莺啼序,否,194,青,他青梅在,他青梅在手诗细哦,正文
118,牡丹亭,第二十六出,莺啼序,否,194,丹青,“丹青妙处,“丹青妙处却天然,正文
118,牡丹亭,第二十六出,莺啼序,否,194,朱,笑处朱唇淡,含笑处朱唇淡抹,正文
0,牡丹亭,第二十六出,簇御林,否,195
119,牡丹亭,第二十六出,尾声,否,196,丹青,向恨丹青,不须一向恨丹青,下场诗
119,牡丹亭,第二十六出,尾声,否,196,白,白居易,白居易　堪把长悬在户庭,下场诗
120,牡丹亭,第二十七出,挂真儿,否,197,银,映带银塘,碧雕栏映带银塘,正文
121,牡丹亭,第二十七出,集唐,否,198,红粉,几年红粉委黄,“几年红粉委黄泥　雍裕之,正文
